customerID,Churn,tenure,MonthlyCharges,TotalCharges,log_TotalCharges,gender_Male,StreamingTV_Yes,no_IS,OnlineBackup_Yes,TechSupport_Yes,StreamingMovies_Yes,DeviceProtection_Yes,SeniorCitizen_1,InternetService_DSL,InternetService_Fiber_optic,PhoneService_Yes,MultipleLines_Yes,Contract_Month_to_month,Contract_One_year,Contract_Two_year,Partner_Yes,OnlineSecurity_Yes,Dependents_Yes,PaymentMethod_Bank_transfer_(automatic),PaymentMethod_Credit_card_(automatic),PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,PaperlessBilling_Yes,y
7469-LKBCI,No,16,18.95,326.8,2.514282047860378,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
8091-TTVAX,No,58,100.35,5681.1,3.7544324338936925,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0
0280-XJGEX,Yes,49,103.7,5036.3,3.7021115920601333,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1
5129-JLPIS,No,25,105.5,2686.05,3.429114092667018,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
3655-SNQYZ,No,69,113.25,7895.15,3.8973603855860413,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0
8191-XWSZG,No,52,20.65,1022.95,3.0098544066791444,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9959-WOFKT,No,71,106.7,7382.25,3.8681887484974102,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0
4190-MFLUW,Yes,10,55.2,528.35,2.722921711759407,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
4183-MYFRB,No,21,90.05,1862.9,3.2701895427041814,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
8779-QRDMV,Yes,1,39.65,39.65,1.5982431916536226,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1680-VDCWW,No,12,19.8,202.25,2.3058885302843097,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
1066-JKSGK,Yes,1,20.15,20.15,1.3042750504771283,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
3638-WEABW,No,58,59.9,3505.1,3.5447004128386737,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
6322-HRPFA,No,49,59.6,2970.3,3.4728003152312845,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0
6865-JZNKO,No,30,55.3,1530.6,3.1848617089934335,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
6467-CHFZW,Yes,47,99.35,4749.15,3.6766158868158567,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1
8665-UTDHZ,Yes,1,30.2,30.2,1.4800069429571505,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
5248-YGIJN,No,72,90.25,6369.45,3.804101932762732,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0
8773-HHUOZ,Yes,17,64.7,1093.1,3.038659894302496,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1
3841-NFECX,No,71,96.35,6766.95,3.830392967557162,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0
4929-XIHVW,No,2,95.5,181.65,2.2592354021987333,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
6827-IEAUQ,No,27,66.15,1874.45,3.2728738603277443,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0
7310-EGVHZ,No,1,20.2,20.2,1.3053513694466237,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
3413-BMNZE,No,1,45.25,45.25,1.655618583541222,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
6234-RAAPL,No,72,99.9,7251.7,3.860439829201805,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
6047-YHPVI,Yes,5,69.7,316.9,2.5009222391903005,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1
6572-ADKRS,No,46,74.8,3548.3,3.5500203312376586,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
5380-WJKOV,Yes,34,106.35,3549.25,3.550136591006247,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
8168-UQWWF,Yes,11,97.85,1105.4,3.0435194602457565,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1
8865-TNMNX,No,10,49.55,475.7,2.677333151419902,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
9489-DEDVP,No,70,69.2,4872.35,3.687738477820436,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0
9867-JCZSP,No,17,20.75,418.25,2.621435949634432,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
4671-VJLCL,No,63,79.85,4861.45,3.6867658233932983,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0
4080-IIARD,No,13,76.2,981.45,2.991868179354044,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3714-NTNFO,No,49,84.5,3906.7,3.591810062530917,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
5948-UJZLF,No,2,49.25,97.0,1.9867717342662448,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
7760-OYPDY,Yes,2,80.65,144.15,2.1588146467242266,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1
7639-LIAYI,No,52,79.75,4217.8,3.6250859824789323,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0
2954-PIBKO,No,69,64.15,4254.1,3.6288076945318593,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0
8012-SOUDQ,No,43,90.25,3838.75,3.5841898294511254,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
9420-LOJKX,Yes,15,99.1,1426.4,3.1542413301672982,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1
6575-SUVOI,No,25,69.5,1752.65,3.2436951971862196,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0
7495-OOKFY,Yes,8,80.65,633.3,2.8016094880273186,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1
4667-QONEA,No,60,74.85,4456.35,3.6489792928253175,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0
1658-BYGOY,Yes,18,95.45,1752.55,3.2436704171746924,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
8769-KKTPH,No,63,99.65,6311.2,3.800111943052307,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0
5067-XJQFU,No,66,108.45,7076.35,3.8498093052028532,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0
3957-SQXML,No,34,24.95,894.3,2.9514832307522934,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
5954-BDFSG,No,72,107.5,7853.7,3.8950743078291086,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
0434-CSFON,No,47,100.5,4707.1,3.6727534247750224,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
1215-FIGMP,No,60,89.9,5450.7,3.7364522796373167,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
0526-SXDJP,No,72,42.1,2962.0,3.47158505418519,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
0557-ASKVU,No,18,54.4,957.1,2.9809573162296203,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
5698-BQJOH,Yes,9,94.4,857.25,2.9331074937869817,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
5122-CYFXA,No,3,75.3,244.1,2.387567779417189,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
8627-ZYGSZ,No,47,78.9,3650.35,3.5623345071362866,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0
3410-YOQBQ,No,31,79.2,2497.2,3.3974533262592517,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3170-NMYVV,No,50,20.15,930.9,2.968903030303828,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
7410-OIEDU,No,10,79.85,887.35,2.9480949536391914,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
2273-QCKXA,No,1,49.05,49.05,1.6906390117159673,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0731-EBJQB,No,52,20.4,1090.65,3.0376854036995464,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
1891-QRQSA,No,64,111.6,7099.0,3.8511971761741606,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0
8028-PNXHQ,No,62,24.25,1424.6,3.1536929400085505,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0
5630-AHZIL,No,3,64.5,177.4,2.2489536154957075,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
2673-CXQEU,No,56,110.5,6139.5,3.788133003700951,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0
6416-JNVRK,No,46,55.65,2688.85,3.429566575377145,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5590-ZSKRV,No,8,54.65,482.25,2.683272236315922,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0
0191-ZHSKZ,No,30,74.75,2111.3,3.324549947702555,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
3887-PBQAO,No,45,25.9,1216.6,3.0851478121269045,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
5919-TMRGD,Yes,1,79.35,79.35,1.899546931090867,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1
8108-UXRQN,No,11,50.55,565.35,2.752317396505286,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0
9191-MYQKX,Yes,7,75.15,496.9,2.6962689967455327,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1
9919-YLNNG,No,42,103.8,4327.5,3.6362370765474314,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0318-ZOPWS,No,49,20.15,973.35,2.988269033214435,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
4445-ZJNMU,No,9,99.3,918.75,2.9631973520922514,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0
4808-YNLEU,No,35,62.15,2215.45,3.3454619529823315,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
1862-QRWPE,No,48,20.65,1057.0,3.024074987307426,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
2796-NNUFI,No,46,19.95,927.1,2.9671265810764127,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0
3016-KSVCP,No,29,33.75,1009.25,3.003998758082352,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
4767-HZZHQ,No,30,82.05,2570.2,3.409966919252241,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0
2424-WVHPL,No,1,74.7,74.7,1.8733206018153987,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
7233-PAHHL,No,66,84.0,5714.25,3.756959236964711,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0
6067-NGCEU,No,65,111.05,7107.0,3.8516863154424277,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0
9848-JQJTX,No,72,100.9,7459.05,3.8726835183533392,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
8637-XJIVR,Yes,12,78.95,927.35,2.9672436763026346,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1
9803-FTJCG,No,71,66.85,4748.7,3.6765747338144927,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0
0278-YXOOG,Yes,5,21.05,113.85,2.0563330349511615,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
3212-KXOCR,No,52,21.0,1107.2,3.0442260771126826,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
4598-XLKNJ,Yes,25,98.5,2514.5,3.400451639956946,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1
6380-ARCEH,No,1,20.2,20.2,1.3053513694466237,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3679-XASPY,No,1,19.45,19.45,1.2889196056617265,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
7123-WQUHX,No,38,95.0,3605.6,3.5569775450629213,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
5386-THSLQ,No,66,45.55,3027.25,3.4810482878667726,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
3192-NQECA,Yes,68,110.0,7611.85,3.8814902214418154,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1
6180-YBIQI,No,5,24.3,100.2,2.0008677215312267,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6728-DKUCO,No,72,104.15,7303.05,3.8635042740290664,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0
9750-BOOHV,No,32,30.15,927.65,2.967384148912561,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8597-CWYHH,No,43,94.35,3921.3,3.5934300693750787,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
2848-YXSMW,No,72,19.4,1363.25,3.1345755063588587,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
0486-HECZI,Yes,55,96.75,5238.9,3.7192401087242053,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1
4549-ZDQYY,No,52,57.95,3042.25,3.4831948997759143,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
5712-AHQNN,No,43,91.65,3954.1,3.5970476485130645,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
4846-WHAFZ,Yes,37,76.5,2868.15,3.457601860548337,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1
5256-SKJGO,No,64,54.6,3423.5,3.5344703322033375,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
3071-VBYPO,No,3,89.85,248.4,2.3951515915045425,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0
9560-BBZXK,No,36,31.05,1126.35,3.051673363383567,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
5299-RULOA,Yes,10,100.25,1064.65,3.0272068584309353,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1
8402-OOOHJ,No,41,20.65,835.15,2.921764485449726,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
9445-ZUEQE,No,27,85.2,2151.6,3.3327615356098077,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0
1091-SOZGA,No,56,99.8,5515.45,3.7415809518703287,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
2928-HLDBA,No,6,20.7,112.75,2.0521165505499983,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0404-SWRVG,Yes,3,74.4,229.55,2.3608772971020398,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
6497-TILVL,No,7,50.7,350.35,2.5445021218295945,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0
7219-TLZHO,No,4,20.85,62.9,1.7986506454452689,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
4622-YNKIJ,No,33,88.95,3027.65,3.4811056687625803,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
4412-YLTKF,Yes,27,78.05,2135.5,3.329499575762843,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
6734-PSBAW,No,72,23.55,1723.95,3.2365246657584215,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
3930-ZGWVE,No,1,19.75,19.75,1.295567099962479,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2639-UGMAZ,No,71,56.45,3985.35,3.6004664678635967,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
2876-GZYZC,No,13,85.95,1215.65,3.084808554420017,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
6207-WIOLX,Yes,25,58.6,1502.65,3.1768578356968824,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1
8587-XYZSF,No,67,50.55,3260.1,3.513230921780242,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3091-FYHKI,Yes,1,35.45,35.45,1.5496162395190853,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
2372-HWUHI,Yes,2,44.35,81.25,1.909823369650912,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
7799-LGRDP,No,43,25.7,1188.2,3.074889548040668,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
7850-VWJUU,No,23,75.0,1778.5,3.2500538695217993,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
3774-VBNXY,No,64,20.2,1277.75,3.1064458896272744,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
6217-KDYWC,No,57,19.6,1170.55,3.0683899693016023,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
0390-DCFDQ,Yes,1,70.45,70.45,1.8478809974453752,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
3146-MSEGF,No,72,88.05,6425.65,3.8079170661877475,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0
4080-OGPJL,Yes,8,71.15,563.65,2.751009511337491,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1
1095-WGNGG,No,61,101.05,5971.25,3.77606525429141,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0
2636-SJDOU,No,64,84.3,5289.05,3.723377672638469,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0
1131-QQZEB,No,71,23.95,1756.2,3.2445739728174354,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
5716-EZXZN,No,65,99.05,6416.7,3.8073117351942276,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0
6837-BJYDQ,No,3,19.6,61.35,1.787814567063023,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2135-RXIHG,Yes,1,45.65,45.65,1.6594407818703176,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
6440-DKQGE,No,30,64.5,1929.95,3.28554605770965,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
3466-BYAVD,No,15,69.5,1071.4,3.0299516420368406,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
3780-YVMFA,No,8,68.55,564.35,2.7515485293806767,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
3874-EQOEP,Yes,7,95.0,655.5,2.8165726960261033,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1679-JRFBR,No,70,108.15,7930.55,3.8993033075801597,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0
9073-ZZIAY,No,62,86.1,5215.25,3.7172751317497257,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
3077-RSNTJ,No,6,19.7,113.5,2.0549958615291417,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
6551-GNYDG,No,14,80.9,1152.8,3.0617539678059327,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0
9167-APMXZ,No,22,84.15,1821.95,3.260536454403142,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
2749-CTKAJ,No,22,20.15,419.9,2.6231458746379395,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
6371-NZYEG,No,16,64.25,1024.0,3.010299956639812,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
7554-NEWDD,No,10,25.7,251.6,2.400710636773231,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
8992-VONJD,No,13,56.0,764.55,2.8834058926443893,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0
0867-MKZVY,Yes,20,82.4,1592.35,3.2020385322221494,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1
4482-EWFMI,No,2,69.7,135.2,2.130976691605617,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
4648-YPBTM,No,53,73.9,3958.25,3.5975032204392736,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
2907-ILJBN,No,11,20.6,233.9,2.3690302218091532,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
6345-FZOQH,No,69,19.9,1363.45,3.134639216262065,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
3376-BMGFE,Yes,4,70.9,273.0,2.436162647040756,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
5997-OPVFA,No,72,89.05,6254.45,3.7961891249859234,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0
3445-HXXGF,Yes,58,45.3,2651.2,3.4234424910752614,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
